,Code,Country,1970,1980,1990,2000,2010,2015,2020,2022,Area (km2),Density (2022),GrowthRate,World Population Percentage,Rank
118,LUX,Luxembourg,339000000,364000000,381000000,436000000,507000000,569000000,630000000,648000000,2586,250.425,1.01,0.01,168
119,MAC,Macau,247000000,245000000,350000000,432000000,557000000,615000000,676000000,695000000,30,23172.2667,1.01,0.01,167
120,MDG,Madagascar,6640000000,8948000000,11883000000,16216000000,21731000000,24851000000,28225000000,29612000000,587041,50.4423,1.02,0.37,50
121,MWI,Malawi,4625000000,6267000000,9540000000,11229000000,14718000000,16939000000,19377000000,20405000000,118484,172.22,1.03,0.26,62
122,MYS,Malaysia,10307000000,13216000000,17517000000,22945000000,28718000000,31069000000,33200000000,33938000000,330803,102.5934,1.01,0.43,45
123,MDV,Maldives,123000000,165000000,225000000,283000000,362000000,436000000,514000000,524000000,300,1745.9567,1.0,0.01,174
124,MLI,Mali,6154000000,7373000000,8945000000,11239000000,15529000000,18113000000,21224000000,22594000000,1240192,18.2178,1.03,0.28,59
125,MLT,Malta,315000000,334000000,365000000,399000000,419000000,457000000,515000000,533000000,316,1687.6139,1.01,0.01,173
126,MHL,Marshall Islands,24000000,32000000,46000000,54000000,53000000,49000000,43000000,42000000,181,229.663,0.99,0.0,215
127,MTQ,Martinique,326000000,334000000,374000000,433000000,392000000,384000000,370000000,368000000,1128,325.8041,1.0,0.0,180
128,MRT,Mauritania,1122000000,1507000000,2006000000,2695000000,3419000000,3946000000,4499000000,4736000000,1030700,4.5951,1.03,0.06,126
129,MUS,Mauritius,830000000,955000000,1090000000,1216000000,1283000000,1293000000,1298000000,1299000000,2040,636.9946,1.0,0.02,157
130,MYT,Mayotte,35000000,52000000,93000000,159000000,212000000,250000000,306000000,326000000,374,871.9278,1.03,0.0,182
131,MEX,Mexico,50289000000,67705000000,81720000000,97873000000,112532000000,120150000000,125998000000,127504000000,1964375,64.9082,1.01,1.6,10
132,FSM,Micronesia,59000000,76000000,99000000,112000000,108000000,109000000,112000000,114000000,702,162.6268,1.01,0.0,194
133,MDA,Moldova,3711000000,4103000000,4480000000,4252000000,3678000000,3277000000,3085000000,3273000000,33846,96.7026,1.07,0.04,135
134,MCO,Monaco,24000000,27000000,30000000,32000000,33000000,37000000,37000000,36000000,2,18234.5,0.99,0.0,217
135,MNG,Mongolia,1294000000,1698000000,2161000000,2451000000,2703000000,2965000000,3294000000,3398000000,1564110,2.1727,1.02,0.04,134
136,MNE,Montenegro,530000000,589000000,621000000,633000000,631000000,634000000,629000000,627000000,13812,45.4012,1.0,0.01,169
137,MSR,Montserrat,11000000,11000000,11000000,5000000,5000000,5000000,5000000,4000000,102,43.0392,0.99,0.0,230
138,MAR,Morocco,15274000000,19678000000,24571000000,28554000000,32465000000,34680000000,36689000000,37458000000,446550,83.883,1.01,0.47,40
139,MOZ,Mozambique,8412000000,11414000000,13303000000,17769000000,23074000000,26843000000,31178000000,32970000000,801590,41.1302,1.03,0.41,48
140,MMR,Myanmar,27284000000,33466000000,40100000000,45538000000,49391000000,51484000000,53423000000,54179000000,676578,80.0784,1.01,0.68,26
141,NAM,Namibia,754000000,976000000,1369000000,1819000000,2099000000,2283000000,2489000000,2567000000,825615,3.1092,1.01,0.03,145
142,NRU,Nauru,7000000,8000000,10000000,10000000,10000000,11000000,12000000,13000000,21,603.2381,1.01,0.0,225
143,NPL,Nepal,12501000000,15600000000,19617000000,24560000000,27162000000,27610000000,29349000000,30548000000,147181,207.5511,1.02,0.38,49
144,NLD,Netherlands,13038000000,14130000000,14945000000,15899000000,16617000000,17041000000,17435000000,17564000000,41850,419.6897,1.0,0.22,71
145,NCL,New Caledonia,111000000,149000000,177000000,222000000,261000000,283000000,286000000,290000000,18575,15.6097,1.01,0.0,185
146,NZL,New Zealand,2824000000,3147000000,3397000000,3855000000,4346000000,4591000000,5061000000,5185000000,270467,19.1716,1.01,0.07,123
147,NIC,Nicaragua,2445000000,3303000000,4228000000,5123000000,5856000000,6299000000,6756000000,6948000000,130373,53.2962,1.01,0.09,106
148,NER,Niger,4670000000,6173000000,8371000000,11623000000,16648000000,20128000000,24334000000,26208000000,1267000,20.6851,1.04,0.33,54
149,NGA,Nigeria,55569000000,72951000000,95214000000,122852000000,160953000000,183996000000,208327000000,218541000000,923768,236.5759,1.02,2.74,6
150,NIU,Niue,5000000,4000000,3000000,2000000,2000000,2000000,2000000,2000000,260,7.4385,1.0,0.0,232
